jeerers NotreDame_De_Paris:3
jehanne NotreDame_De_Paris:18
jehanneton NotreDame_De_Paris:3
jetted NotreDame_De_Paris:3
jingling war_and_peace:4,anna_karenhina:2
jockey NotreDame_De_Paris:3,anna_karenhina:4
jointly NotreDame_De_Paris:3
journey war_and_peace:8,tamingoftheshrew:2,troilusandcressida:1,anna_karenhina:19
jouvenel NotreDame_De_Paris:3
judas loveslabourslost:13
judicature NotreDame_De_Paris:3
julian NotreDame_De_Paris:5
juliet measureforemeasure:12
june NotreDame_De_Paris:3,war_and_peace:38,anna_karenhina:8
juribus NotreDame_De_Paris:3
jurisconsults NotreDame_De_Paris:3
justify war_and_peace:1,anna_karenhina:6
jabbering war_and_peace:2
jagged NotreDame_De_Paris:1,war_and_peace:1
jambs NotreDame_De_Paris:1
jeanne NotreDame_De_Paris:1
jerky war_and_peace:4
jewish NotreDame_De_Paris:1,war_and_peace:2
joachim NotreDame_De_Paris:1
jobs NotreDame_De_Paris:1
jodouyne NotreDame_De_Paris:1
johannes NotreDame_De_Paris:2
joinville NotreDame_De_Paris:1
jostled war_and_peace:1,anna_karenhina:1
jostling war_and_peace:1
jouy NotreDame_De_Paris:1
joyfully war_and_peace:8,anna_karenhina:9
judea NotreDame_De_Paris:1
juge NotreDame_De_Paris:1
juiverie NotreDame_De_Paris:2
jumi NotreDame_De_Paris:1
jumped war_and_peace:11,anna_karenhina:17
juv NotreDame_De_Paris:1
juxtaposition NotreDame_De_Paris:1
julietta measureforemeasure:6
jury war_and_peace:1,anna_karenhina:1,twelfthnight:1
jot measureforemeasure:6,war_and_peace:2,tamingoftheshrew:1,twelfthnight:2
journal measureforemeasure:3,anna_karenhina:2
jaquenetta loveslabourslost:3
jointed loveslabourslost:3
juvenal loveslabourslost:12,midsummersnightsdream:1
joshua loveslabourslost:2,war_and_peace:2
jill loveslabourslost:1,midsummersnightsdream:1
joan loveslabourslost:2,war_and_peace:1,tamingoftheshrew:1
jud loveslabourslost:1
jude loveslabourslost:2
justle loveslabourslost:1
ja war_and_peace:2,anna_karenhina:1
jena war_and_peace:10
jerked war_and_peace:5,anna_karenhina:3
jerkily war_and_peace:2
jesters war_and_peace:2
jestingly war_and_peace:4,anna_karenhina:3
jesuit war_and_peace:4
jobert war_and_peace:6
joconde war_and_peace:2
jocose war_and_peace:2,anna_karenhina:1
jocularity war_and_peace:2
joining war_and_peace:5,anna_karenhina:1
joke war_and_peace:6,anna_karenhina:12
joked war_and_peace:1,anna_karenhina:1
jokes war_and_peace:3,anna_karenhina:7
joking war_and_peace:5,anna_karenhina:6
jolted war_and_peace:3
jolting war_and_peace:2,anna_karenhina:3
joseph war_and_peace:56,tamingoftheshrew:1
joylessly war_and_peace:2
julie war_and_peace:15
julner war_and_peace:2
jumps war_and_peace:4
juniper war_and_peace:2
justifiability war_and_peace:2
justification war_and_peace:22
jaded war_and_peace:2
jam war_and_peace:2,anna_karenhina:2
jamais war_and_peace:2,anna_karenhina:2
jar war_and_peace:2,troilusandcressida:1,anna_karenhina:1
jauntily war_and_peace:4,anna_karenhina:3
jaunty war_and_peace:2,anna_karenhina:2
jelly war_and_peace:2
jerking war_and_peace:2,anna_karenhina:2
jested war_and_peace:1,anna_karenhina:1
jocular war_and_peace:1
jocularly war_and_peace:2
jokingly war_and_peace:2
jolies war_and_peace:2
journeys war_and_peace:4,twelfthnight:1
joyousness war_and_peace:2
juiciness war_and_peace:2
jump war_and_peace:3,tamingoftheshrew:1,anna_karenhina:1,twelfthnight:1
jumping war_and_peace:2,anna_karenhina:8
juridical war_and_peace:4
jurisprudence war_and_peace:18
justifying war_and_peace:10,anna_karenhina:3
justinian war_and_peace:2
jabbered war_and_peace:4
jackdaw war_and_peace:6
jammed war_and_peace:4
jealo war_and_peace:2
jostle war_and_peace:2
journalists war_and_peace:6,anna_karenhina:1
junot war_and_peace:10
justifications war_and_peace:12
jabber war_and_peace:1,anna_karenhina:1
jacobin war_and_peace:1
jacquot war_and_peace:2
jaffa war_and_peace:1
jerome war_and_peace:2
joins war_and_peace:2
jottings war_and_peace:1
justness war_and_peace:1,troilusandcressida:1
jay tamingoftheshrew:1
jeronimy tamingoftheshrew:1
jaundice troilusandcressida:1
juggling troilusandcressida:2
justles troilusandcressida:1
jivio anna_karenhina:3
jobmaster anna_karenhina:1
jocosely anna_karenhina:2
jocoseness anna_karenhina:1
joli anna_karenhina:1
jouer anna_karenhina:1
journ anna_karenhina:1
journals anna_karenhina:2
jubilee anna_karenhina:3
juicy anna_karenhina:4
jules anna_karenhina:2
junctions anna_karenhina:1
jet anna_karenhina:1
jones anna_karenhina:1
jovially anna_karenhina:1
junket anna_karenhina:3
juries anna_karenhina:1
juryman anna_karenhina:1
jobbers anna_karenhina:1
jockeys anna_karenhina:1
juncture anna_karenhina:1
jocund twelfthnight:1
joinder twelfthnight:1
jezebel twelfthnight:1
jangling midsummersnightsdream:1
jole midsummersnightsdream:1
